axis,group,source_support,accepted_support,coverage,conditional_risk,selective_risk_identified
class_label,smokestack,132,121,0.9166666666666666,0.9256198347107438,True
class_label,solar_farm,133,121,0.9097744360902256,0.8677685950413223,True
class_label,space_facility,64,64,1.0,0.421875,True
class_label,stadium,106,98,0.9245283018867925,0.5714285714285714,True
class_label,storage_tank,173,159,0.9190751445086706,0.8050314465408805,True
class_label,surface_mine,114,102,0.8947368421052632,0.5980392156862745,True
class_label,swimming_pool,141,119,0.8439716312056738,0.865546218487395,True
class_label,toll_booth,91,81,0.8901098901098901,0.8765432098765432,True
class_label,tower,142,129,0.9084507042253521,0.8914728682170543,True
class_label,tunnel_opening,150,143,0.9533333333333334,0.5244755244755245,True
class_label,waste_disposal,135,120,0.8888888888888888,0.8916666666666667,True
class_label,water_treatment_facility,138,123,0.8913043478260869,0.9186991869918699,True
class_label,wind_farm,148,128,0.8648648648648649,0.796875,True
class_label,zoo,66,55,0.8333333333333334,1.0,True
country_class,ABW|amusement_park,2,2,1.0,1.0,True
country_class,AFG|educational_institution,10,10,1.0,1.0,True
country_class,AIA|prison,9,9,1.0,1.0,True
country_class,ALB|educational_institution,1,1,1.0,1.0,True
country_class,ALB|parking_lot_or_garage,4,4,1.0,1.0,True
country_class,ALB|swimming_pool,1,1,1.0,1.0,True
country_class,AND|oil_or_gas_facility,11,10,0.9090909090909091,1.0,True
country_class,ANT|barn,1,1,1.0,1.0,True
country_class,ANT|car_dealership,1,1,1.0,1.0,True
country_class,ANT|lighthouse,1,1,1.0,0.0,True
country_class,ANT|port,1,1,1.0,0.0,True
country_class,ARE|factory_or_powerplant,4,4,1.0,1.0,True
country_class,ARE|ground_transportation_station,4,3,0.75,1.0,True
country_class,ARE|helipad,3,3,1.0,1.0,True
country_class,ARE|place_of_worship,4,4,1.0,0.75,True
country_class,ARE|police_station,3,3,1.0,1.0,True
country_class,ARE|race_track,1,1,1.0,1.0,True
country_class,ARE|recreational_facility,1,1,1.0,1.0,True
country_class,ARE|shipyard,3,3,1.0,1.0,True
country_class,ARE|storage_tank,9,9,1.0,1.0,True
country_class,ARE|tower,1,1,1.0,1.0,True
country_class,ARE|waste_disposal,1,1,1.0,1.0,True
country_class,ARG|airport_hangar,1,1,1.0,1.0,True
country_class,ARG|crop_field,1,1,1.0,1.0,True
country_class,ARG|debris_or_rubble,3,3,1.0,1.0,True
country_class,ARG|educational_institution,1,1,1.0,1.0,True
