axis,group,risk,support,cluster_support,selected_tail_mass,protocol_hash
class_label,airport_terminal,0.9166666666666666,60,38,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,amusement_park,0.42857142857142855,56,35,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,aquaculture,0.3717948717948718,78,14,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,archaeological_site,0.9649122807017544,57,24,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,barn,1.0,59,26,0.01639344262295082,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,border_checkpoint,0.875,72,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,burial_site,0.9848484848484849,66,26,0.0016393442622950685,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,car_dealership,0.90625,32,15,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,construction_site,0.9696969696969697,33,15,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,crop_field,0.96,100,47,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,dam,0.8,40,22,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,debris_or_rubble,0.8504672897196262,107,14,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,educational_institution,0.9047619047619048,63,33,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,electric_substation,0.9464285714285714,56,23,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,factory_or_powerplant,0.9761904761904762,42,26,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,fire_station,1.0,52,18,0.01639344262295082,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,flooded_road,0.59375,32,9,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,fountain,0.9464285714285714,56,15,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,gas_station,0.9818181818181818,55,20,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,golf_course,0.9111111111111111,45,18,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,ground_transportation_station,0.963855421686747,83,37,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,helipad,0.6944444444444444,36,19,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,hospital,1.0,39,21,0.01639344262295082,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,impoverished_settlement,0.24444444444444444,45,7,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,interchange,0.8653846153846154,52,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,lake_or_pond,0.84375,32,7,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,lighthouse,0.62,50,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,military_facility,0.9866666666666667,75,36,0.01639344262295082,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,multi-unit_residential,0.5135135135135135,37,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,nuclear_powerplant,0.7534246575342466,73,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,office_building,0.9444444444444444,36,19,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,oil_or_gas_facility,0.96,50,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,park,0.9622641509433962,53,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,parking_lot_or_garage,0.9824561403508771,57,37,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,place_of_worship,0.900990099009901,101,42,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,police_station,0.9722222222222222,72,35,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,port,0.4444444444444444,27,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,prison,1.0,58,16,0.01639344262295082,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,race_track,0.9791666666666666,48,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,railway_bridge,0.96875,32,17,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,recreational_facility,0.96875,64,41,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,road_bridge,0.7777777777777778,63,14,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,runway,0.4358974358974359,39,19,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,shopping_mall,0.9333333333333333,45,25,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,single-unit_residential,0.7136150234741784,213,46,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,smokestack,0.9318181818181818,132,26,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,solar_farm,0.8646616541353384,133,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,space_facility,0.421875,64,5,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,stadium,0.5754716981132075,106,20,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,storage_tank,0.8208092485549133,173,32,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,surface_mine,0.6140350877192983,114,35,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,swimming_pool,0.8794326241134752,141,26,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,toll_booth,0.8681318681318682,91,22,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,tower,0.8873239436619719,142,29,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,tunnel_opening,0.54,150,30,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,waste_disposal,0.9037037037037037,135,28,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,water_treatment_facility,0.9130434782608695,138,29,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,wind_farm,0.7972972972972973,148,25,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,zoo,1.0,66,18,0.01639344262295082,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,BGD|flooded_road,0.4583333333333333,24,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,BRA|swimming_pool,0.7540983606557377,61,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,CHN|tunnel_opening,0.5,84,22,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,CYP|swimming_pool,0.9545454545454546,22,2,0.0032258064516129115,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,DEU|solar_farm,0.7777777777777778,36,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,ESP|solar_farm,0.6923076923076923,26,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,EST|border_checkpoint,0.9545454545454546,22,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
